Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     22.53     0.00    37239     0.00     0.00  camlPervasives__fun_1422
  0.00     22.53     0.00    37239     0.00     0.00  camlPrintf__doprn_1360
  0.00     22.53     0.00    37239     0.00     0.00  caml_ml_output_char
  0.00     22.53     0.00    24851     0.00     0.00  caml_putblock
  0.00     22.53     0.00    24826     0.00     0.00  camlPrintf__add_int_index_1040
  0.00     22.53     0.00    24826     0.00     0.00  camlPrintf__cont_s_1361
  0.00     22.53     0.00    24826     0.00     0.00  camlPrintf__get_arg_1288
  0.00     22.53     0.00    24826     0.00     0.00  camlPrintf__got_spec_1297
  0.00     22.53     0.00    24826     0.00     0.00  camlPrintf__scan_conv_1293
  0.00     22.53     0.00    24826     0.00     0.00  camlPrintf__scan_flags_1292
  0.00     22.53     0.00    24826     0.00     0.00  camlPrintf__scan_format_1278
  0.00     22.53     0.00    24826     0.00     0.00  camlPrintf__scan_positional_1291
  0.00     22.53     0.00    24826     0.00     0.00  camlPrintf__scan_positional_spec_1252
  0.00     22.53     0.00    24826     0.00     0.00  caml_ml_output
  0.00     22.53     0.00    15165     0.00     0.00  caml_gc_message
  0.00     22.53     0.00    12420     0.00     0.00  caml_alloc_small
  0.00     22.53     0.00    12416     0.00     0.00  caml_copy_string
  0.00     22.53     0.00    12416     0.00     0.00  caml_make_vect
  0.00     22.53     0.00    12415     0.00     0.00  camlBuffer__create_1039
  0.00     22.53     0.00    12414     0.00     0.00  camlList__rev_append_1051
  0.00     22.53     0.00    12413     0.00     0.00  camlOptim0__fun_1074
  0.00     22.53     0.00    12413     0.00     0.00  camlPrintf__extract_format_1085
  0.00     22.53     0.00    12413     0.00     0.00  camlPrintf__extract_format_int_1103
  0.00     22.53     0.00    12413     0.00     0.00  camlPrintf__fill_format_1096
  0.00     22.53     0.00    12413     0.00     0.00  camlPrintf__fun_1575
  0.00     22.53     0.00    12413     0.00     0.00  camlPrintf__fun_1689
  0.00     22.53     0.00    12413     0.00     0.00  camlPrintf__pr_1354
  0.00     22.53     0.00    12413     0.00     0.00  camlPrintf__skip_positional_spec_1090
  0.00     22.53     0.00    12413     0.00     0.00  caml_curry4_2
  0.00     22.53     0.00    12413     0.00     0.00  caml_curry4_3
  0.00     22.53     0.00    12413     0.00     0.00  caml_format_int
  0.00     22.53     0.00    12413     0.00     0.00  caml_tuplify2
  0.00     22.53     0.00    12413     0.00     0.00  parse_format
  0.00     22.53     0.00     3474     0.00     0.00  caml_iterate_global_roots
  0.00     22.53     0.00     3186     0.00     0.00  caml_empty_minor_heap
  0.00     22.53     0.00     3186     0.00     0.00  caml_final_empty_young
  0.00     22.53     0.00     3186     0.00     0.00  clear_table
  0.00     22.53     0.00     2688     0.00     0.00  invert_root
  0.00     22.53     0.00     2513     0.00     0.00  caml_process_pending_signals
  0.00     22.53     0.00     1685     0.00     0.00  camlPervasives__input_1224
  0.00     22.53     0.00     1685     0.00     0.00  caml_ml_input
  0.00     22.53     0.00     1593     0.00     0.00  caml_final_do_calls
  0.00     22.53     0.00     1593     0.00     0.00  caml_final_do_young_roots
  0.00     22.53     0.00     1593     0.00     0.00  caml_major_collection_slice
  0.00     22.53     0.00     1593     0.00     0.00  caml_minor_collection
  0.00     22.53     0.00     1593     0.00     0.00  caml_scan_global_young_roots
  0.00     22.53     0.00     1585     0.00     0.00  caml_garbage_collection
  0.00     22.53     0.00      464     0.00     0.00  caml_enter_blocking_section
  0.00     22.53     0.00      464     0.00     0.00  caml_enter_blocking_section_default
  0.00     22.53     0.00      464     0.00     0.00  caml_leave_blocking_section
  0.00     22.53     0.00      464     0.00     0.00  caml_leave_blocking_section_default
  0.00     22.53     0.00      422     0.00     0.00  caml_do_read
  0.00     22.53     0.00      134     0.00     0.00  camlPervasives__char_of_int_1120
  0.00     22.53     0.00       96     0.00     0.00  caml_do_local_roots
  0.00     22.53     0.00       96     0.00     0.00  caml_do_roots
  0.00     22.53     0.00       96     0.00     0.00  caml_final_do_strong_roots
  0.00     22.53     0.00       96     0.00     0.00  caml_fl_init_merge
  0.00     22.53     0.00       96     0.00     0.00  caml_scan_global_roots
  0.00     22.53     0.00       93     0.00     0.00  caml_darken_all_roots
  0.00     22.53     0.00       93     0.00     0.00  start_cycle
  0.00     22.53     0.00       92     0.00     0.00  caml_final_update
  0.00     22.53     0.00       89     0.00     0.00  caml_compact_heap_maybe
  0.00     22.53     0.00       44     0.00     0.00  caml_page_table_add
  0.00     22.53     0.00       34     0.00     0.00  do_write
  0.00     22.53     0.00       30     0.00     0.00  caml_aligned_malloc
  0.00     22.53     0.00       29     0.00     0.00  caml_alloc_for_heap
  0.00     22.53     0.00       29     0.00     0.00  clip_heap_chunk_size
  0.00     22.53     0.00       28     0.00     0.00  caml_add_to_heap
  0.00     22.53     0.00       28     0.00     0.00  caml_fl_add_blocks
  0.00     22.53     0.00       28     0.00     0.00  caml_round_heap_chunk_size
  0.00     22.53     0.00       28     0.00     0.00  caml_stat_alloc
  0.00     22.53     0.00       27     0.00     0.00  caml_free_for_heap
  0.00     22.53     0.00       27     0.00     0.01  caml_page_table_remove
  0.00     22.53     0.00       27     0.00     0.01  caml_shrink_heap
  0.00     22.53     0.00       19     0.00     0.00  realloc_gray_vals
  0.00     22.53     0.00       18     0.00     0.00  caml_make_free_blocks
