Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      1.00     0.00   174762     0.00     0.00  camlList__rev_sort_1272
  0.00      1.00     0.00   131071     0.00     0.00  camlList__chop_1243
  0.00      1.00     0.00    87381     0.00     0.00  camlList__sort_1271
  0.00      1.00     0.00    37242     0.00     0.00  camlPervasives__fun_1422
  0.00      1.00     0.00    37242     0.00     0.00  camlPrintf__doprn_1360
  0.00      1.00     0.00    37242     0.00     0.00  caml_ml_output_char
  0.00      1.00     0.00    24846     0.00     0.00  caml_putblock
  0.00      1.00     0.00    24828     0.00     0.00  camlPervasives__output_string_1191
  0.00      1.00     0.00    24828     0.00     0.00  camlPrintf__add_int_index_1040
  0.00      1.00     0.00    24828     0.00     0.00  camlPrintf__cont_s_1361
  0.00      1.00     0.00    24828     0.00     0.00  camlPrintf__get_arg_1288
  0.00      1.00     0.00    24828     0.00     0.00  camlPrintf__got_spec_1297
  0.00      1.00     0.00    24828     0.00     0.00  camlPrintf__scan_flags_1292
  0.00      1.00     0.00    24828     0.00     0.00  camlPrintf__scan_format_1278
  0.00      1.00     0.00    24828     0.00     0.00  camlPrintf__scan_positional_1291
  0.00      1.00     0.00    24828     0.00     0.00  camlPrintf__scan_positional_spec_1252
  0.00      1.00     0.00    24828     0.00     0.00  caml_ml_output
  0.00      1.00     0.00    12421     0.00     0.00  caml_alloc_small
  0.00      1.00     0.00    12417     0.00     0.00  caml_copy_string
  0.00      1.00     0.00    12417     0.00     0.00  caml_make_vect
  0.00      1.00     0.00    12416     0.00     0.00  camlBuffer__create_1039
  0.00      1.00     0.00    12414     0.00     0.00  camlOptim2__fun_1073
  0.00      1.00     0.00    12414     0.00     0.00  camlPrintf__extract_format_1085
  0.00      1.00     0.00    12414     0.00     0.00  camlPrintf__extract_format_int_1103
  0.00      1.00     0.00    12414     0.00     0.00  camlPrintf__fill_format_1096
  0.00      1.00     0.00    12414     0.00     0.00  camlPrintf__fun_1575
  0.00      1.00     0.00    12414     0.00     0.00  camlPrintf__fun_1689
  0.00      1.00     0.00    12414     0.00     0.00  camlPrintf__pr_1354
  0.00      1.00     0.00    12414     0.00     0.00  camlPrintf__skip_positional_spec_1090
  0.00      1.00     0.00    12414     0.00     0.00  caml_curry4_2
  0.00      1.00     0.00    12414     0.00     0.00  caml_curry4_3
  0.00      1.00     0.00    12414     0.00     0.00  caml_format_int
  0.00      1.00     0.00    12414     0.00     0.00  caml_tuplify2
  0.00      1.00     0.00    12414     0.00     0.00  parse_format
  0.00      1.00     0.00    10201     0.00     0.00  caml_page_table_modify
  0.00      1.00     0.00     3352     0.00     0.00  caml_gc_message
  0.00      1.00     0.00     1685     0.00     0.00  camlPervasives__input_1224
  0.00      1.00     0.00     1685     0.00     0.00  caml_ml_input
  0.00      1.00     0.00     1263     0.00     0.00  caml_process_pending_signals
  0.00      1.00     0.00      746     0.00     0.00  caml_iterate_global_roots
  0.00      1.00     0.00      686     0.00     0.17  caml_empty_minor_heap
  0.00      1.00     0.00      686     0.00     0.00  caml_final_empty_young
  0.00      1.00     0.00      686     0.00     0.00  clear_table
  0.00      1.00     0.00      464     0.00     0.00  caml_enter_blocking_section
  0.00      1.00     0.00      464     0.00     0.00  caml_enter_blocking_section_default
  0.00      1.00     0.00      464     0.00     0.00  caml_leave_blocking_section
  0.00      1.00     0.00      464     0.00     0.00  caml_leave_blocking_section_default
  0.00      1.00     0.00      422     0.00     0.00  caml_do_read
  0.00      1.00     0.00      404     0.00     0.00  invert_root
  0.00      1.00     0.00      343     0.00     0.00  caml_final_do_calls
  0.00      1.00     0.00      343     0.00     0.00  caml_final_do_young_roots
  0.00      1.00     0.00      343     0.00     0.82  caml_major_collection_slice
  0.00      1.00     0.00      343     0.00     1.17  caml_minor_collection
  0.00      1.00     0.00      343     0.00     0.00  caml_oldify_local_roots
  0.00      1.00     0.00      343     0.00     0.00  caml_scan_global_young_roots
  0.00      1.00     0.00      335     0.00     1.17  caml_garbage_collection
  0.00      1.00     0.00      134     0.00     0.00  camlPervasives__char_of_int_1120
  0.00      1.00     0.00       46     0.00     0.00  caml_page_table_add
  0.00      1.00     0.00       34     0.00     0.00  do_write
  0.00      1.00     0.00       32     0.00     0.00  caml_aligned_malloc
  0.00      1.00     0.00       31     0.00     0.00  caml_alloc_for_heap
  0.00      1.00     0.00       31     0.00     0.00  clip_heap_chunk_size
  0.00      1.00     0.00       30     0.00     0.00  caml_add_to_heap
  0.00      1.00     0.00       30     0.00     0.00  caml_fl_add_blocks
  0.00      1.00     0.00       30     0.00     0.00  caml_round_heap_chunk_size
  0.00      1.00     0.00       28     0.00     0.00  caml_stat_alloc
  0.00      1.00     0.00       21     0.00     0.00  caml_fl_init_merge
  0.00      1.00     0.00       20     0.00     0.00  caml_do_local_roots
  0.00      1.00     0.00       20     0.00     0.00  caml_do_roots
  0.00      1.00     0.00       20     0.00     0.00  caml_final_do_strong_roots
  0.00      1.00     0.00       20     0.00     0.00  caml_scan_global_roots
  0.00      1.00     0.00       19     0.00     0.00  caml_darken_all_roots
  0.00      1.00     0.00       19     0.00     0.00  caml_final_update
  0.00      1.00     0.00       19     0.00     0.00  realloc_gray_vals
  0.00      1.00     0.00       19     0.00     0.00  start_cycle
  0.00      1.00     0.00       17     0.00     3.17  caml_compact_heap_maybe
  0.00      1.00     0.00       16     0.00     0.00  caml_make_free_blocks
  0.00      1.00     0.00       14     0.00     0.00  caml_register_frametable
  0.00      1.00     0.00       14     0.00     0.00  cons
  0.00      1.00     0.00        8     0.00     0.00  caml_free_for_heap
  0.00      1.00     0.00        8     0.00     0.00  caml_page_table_remove
  0.00      1.00     0.00        8     0.00     0.00  caml_shrink_heap
  0.00      1.00     0.00        7     0.00     0.00  caml_adjust_gc_speed
  0.00      1.00     0.00        7     0.00     0.00  caml_alloc_channel
  0.00      1.00     0.00        7     0.00     0.00  caml_alloc_custom
  0.00      1.00     0.00        7     0.00     0.00  caml_check_urgent_gc
  0.00      1.00     0.00        6     0.00     0.00  caml_copy_double
  0.00      1.00     0.00        6     0.00     0.00  caml_flush_partial
  0.00      1.00     0.00        6     0.00     0.00  caml_int64_float_of_bits
  0.00      1.00     0.00        5     0.00     0.00  caml_open_descriptor_in
  0.00      1.00     0.00        4     0.00     0.00  camlHashtbl__add_1074
  0.00      1.00     0.00        3     0.00     0.00  camlHashtbl__create_1051
  0.00      1.00     0.00        3     0.00     4.47  camlList__iter_1074
  0.00      1.00     0.00        3     0.00     0.00  camlPervasives__max_1025
  0.00      1.00     0.00        3     0.00     0.00  camlPervasives__min_1022
  0.00      1.00     0.00        3     0.00     0.00  caml_flush
  0.00      1.00     0.00        3     0.00     0.00  caml_greaterequal
  0.00      1.00     0.00        3     0.00     0.00  caml_lessequal
  0.00      1.00     0.00        3     0.00     0.00  caml_ml_flush
  0.00      1.00     0.00        3     0.00     0.00  caml_ml_open_descriptor_out
  0.00      1.00     0.00        3     0.00     0.00  caml_open_descriptor_out
  0.00      1.00     0.00        3     0.00     0.00  caml_register_custom_operations
  0.00      1.00     0.00        2     0.00     0.00  camlScanf__from_ic_1149
  0.00      1.00     0.00        2     0.00     0.00  camlScanf__loop_1525
  0.00      1.00     0.00        2     0.00     0.00  camlScanf__make_char_bit_vect_1520
  0.00      1.00     0.00        2     0.00     4.47  camlScanf__make_pred_1534
  0.00      1.00     0.00        2     0.00     0.00  camlScanf__make_setp_1541
  0.00      1.00     0.00        2     0.00     0.00  camlString__make_1038
  0.00      1.00     0.00        2     0.00     0.00  caml_convert_flag_list
  0.00      1.00     0.00        2     0.00     0.00  caml_fill_string
  0.00      1.00     0.00        2     0.00     0.00  caml_ml_open_descriptor_in
  0.00      1.00     0.00        2     0.00     0.00  caml_stat_free
  0.00      1.00     0.00        2     0.00     0.00  caml_sys_open
  0.00      1.00     0.00        2     0.00     0.00  norm_heapincr
  0.00      1.00     0.00        2     0.00     0.00  reset_table
  0.00      1.00     0.00        1     0.00     0.00  camlArray__entry
  0.00      1.00     0.00        1     0.00     0.00  camlBuffer__entry
  0.00      1.00     0.00        1     0.00     0.00  camlChar__entry
  0.00      1.00     0.00        1     0.00     0.00  camlHashtbl__entry
  0.00      1.00     0.00        1     0.00     0.00  camlList__entry
  0.00      1.00     0.00        1     0.00    18.16  camlList__fold_left_1078
  0.00      1.00     0.00        1     0.00     0.00  camlList__length_aux_1030
  0.00      1.00     0.00        1     0.00     0.00  camlList__rev_map_1067
  0.00      1.00     0.00        1     0.00    10.00  camlList__rmap_f_1070
  0.00      1.00     0.00        1     0.00     0.00  camlList__stable_sort_1248
  0.00      1.00     0.00        1     0.00     0.00  camlList__tl_1039
  0.00      1.00     0.00        1     0.00   480.86  camlOptim2__entry
  0.00      1.00     0.00        1     0.00   247.15  camlOptim2__histogram_1042
  0.00      1.00     0.00        1     0.00     0.00  camlOptim2__iterate_1037
  0.00      1.00     0.00        1     0.00     0.00  camlPervasives__close_out_1209
  0.00      1.00     0.00        1     0.00     0.00  camlPervasives__entry
  0.00      1.00     0.00        1     0.00     0.00  camlPervasives__flush_all_1185
  0.00      1.00     0.00        1     0.00     0.00  camlPervasives__iter_1186
  0.00      1.00     0.00        1     0.00     0.00  camlPervasives__open_in_1218
  0.00      1.00     0.00        1     0.00     0.00  camlPervasives__open_in_gen_1214
  0.00      1.00     0.00        1     0.00     0.00  camlPervasives__open_out_1179
  0.00      1.00     0.00        1     0.00     0.00  camlPervasives__open_out_gen_1175
  0.00      1.00     0.00        1     0.00     0.00  camlPrintf__entry
  0.00      1.00     0.00        1     0.00     0.00  camlPrintf__fprintf_1391
  0.00      1.00     0.00        1     0.00     0.00  camlPrintf__fun_1680
  0.00      1.00     0.00        1     0.00     0.00  camlPrintf__kapr_1209
  0.00      1.00     0.00        1     0.00     0.00  camlPrintf__kfprintf_1386
  0.00      1.00     0.00        1     0.00     0.00  camlPrintf__mkprintf_1345
  0.00      1.00     0.00        1     0.00     0.00  camlScanf__entry
  0.00      1.00     0.00        1     0.00     0.00  camlScanf__scan_raise_at_end_1147
  0.00      1.00     0.00        1     0.00     0.00  camlStd_exit__entry
  0.00      1.00     0.00        1     0.00     0.00  camlString__entry
  0.00      1.00     0.00        1     0.00     0.00  camlSys__entry
  0.00      1.00     0.00        1     0.00     0.00  caml_alloc
  0.00      1.00     0.00        1     0.00     0.00  caml_alloc_array
