Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     32.42     0.00   273169     0.00     0.00  camlString__lowercase_1098
  0.00     32.42     0.00    37239     0.00     0.00  camlPervasives__fun_1422
  0.00     32.42     0.00    37239     0.00     0.00  camlPrintf__doprn_1360
  0.00     32.42     0.00    37239     0.00     0.00  caml_ml_output_char
  0.00     32.42     0.00    24851     0.00     0.00  caml_putblock
  0.00     32.42     0.00    24826     0.00     0.00  camlPervasives__output_string_1191
  0.00     32.42     0.00    24826     0.00     0.00  camlPrintf__add_int_index_1040
  0.00     32.42     0.00    24826     0.00     0.00  camlPrintf__cont_s_1361
  0.00     32.42     0.00    24826     0.00     0.00  camlPrintf__get_arg_1288
  0.00     32.42     0.00    24826     0.00     0.00  camlPrintf__got_spec_1297
  0.00     32.42     0.00    24826     0.00     0.00  camlPrintf__scan_conv_1293
  0.00     32.42     0.00    24826     0.00     0.00  camlPrintf__scan_flags_1292
  0.00     32.42     0.00    24826     0.00     0.00  camlPrintf__scan_format_1278
  0.00     32.42     0.00    24826     0.00     0.00  camlPrintf__scan_positional_1291
  0.00     32.42     0.00    24826     0.00     0.00  camlPrintf__scan_positional_spec_1252
  0.00     32.42     0.00    24826     0.00     0.00  caml_ml_output
  0.00     32.42     0.00    15140     0.00     0.00  caml_gc_message
  0.00     32.42     0.00    12420     0.00     0.00  caml_alloc_small
  0.00     32.42     0.00    12416     0.00     0.00  caml_copy_string
  0.00     32.42     0.00    12416     0.00     0.00  caml_make_vect
  0.00     32.42     0.00    12415     0.00     0.00  camlBuffer__create_1039
  0.00     32.42     0.00    12414     0.00     0.00  camlList__rev_append_1051
  0.00     32.42     0.00    12413     0.00     0.00  camlOptim3_5__fun_1096
  0.00     32.42     0.00    12413     0.00     0.00  camlPrintf__extract_format_1085
  0.00     32.42     0.00    12413     0.00     0.00  camlPrintf__extract_format_int_1103
  0.00     32.42     0.00    12413     0.00     0.00  camlPrintf__fill_format_1096
  0.00     32.42     0.00    12413     0.00     0.00  camlPrintf__fun_1575
  0.00     32.42     0.00    12413     0.00     0.00  camlPrintf__fun_1689
  0.00     32.42     0.00    12413     0.00     0.00  camlPrintf__pr_1354
  0.00     32.42     0.00    12413     0.00     0.00  camlPrintf__skip_positional_spec_1090
  0.00     32.42     0.00    12413     0.00     0.00  caml_curry4_2
  0.00     32.42     0.00    12413     0.00     0.00  caml_curry4_3
  0.00     32.42     0.00    12413     0.00     0.00  caml_format_int
  0.00     32.42     0.00    12413     0.00     0.00  caml_tuplify2
  0.00     32.42     0.00    12413     0.00     0.00  parse_format
  0.00     32.42     0.00     7995     0.00     0.00  invert_root
