assoc-l: create    k= 1 n=       2 t=      0.25s
hashtbl: use known k= 6 n=      64 t=      1.54s
hashtbl: use fresh k= 6 n=      64 t=      1.50s
hashtbl: create    k= 7 n=     128 t=      2.09s
hashtbl: use known k= 7 n=     128 t=      1.58s
hashtbl: use fresh k= 7 n=     128 t=      1.68s
hashtbl: create    k= 8 n=     256 t=      1.90s
hashtbl: use known k= 8 n=     256 t=      1.58s
hashtbl: use fresh k= 8 n=     256 t=      1.87s
hashtbl: create    k= 9 n=     512 t=      1.79s
hashtbl: use known k= 9 n=     512 t=      1.78s
hashtbl: use fresh k= 9 n=     512 t=      1.99s
hashtbl: create    k=10 n=    1024 t=      3.69s
hashtbl: use known k=10 n=    1024 t=      1.80s
hashtbl: use fresh k=10 n=    1024 t=      2.12s
hashtbl: create    k=11 n=    2048 t=      4.75s
hashtbl: use known k=11 n=    2048 t=      1.81s
hashtbl: use fresh k=11 n=    2048 t=      1.84s
hashtbl: create    k=12 n=    4096 t=      5.62s
hashtbl: use known k=12 n=    4096 t=      1.96s
hashtbl: use fresh k=12 n=    4096 t=      1.92s
hashtbl: create    k=13 n=    8192 t=      6.41s
hashtbl: use known k=13 n=    8192 t=      2.46s
hashtbl: use fresh k=13 n=    8192 t=      2.04s
hashtbl: create    k=14 n=   16384 t=      8.42s
hashtbl: use known k=14 n=   16384 t=      3.09s
hashtbl: use fresh k=14 n=   16384 t=      1.93s
hashtbl: create    k=15 n=   32768 t=     11.68s
hashtbl: use known k=15 n=   32768 t=      3.90s
hashtbl: use fresh k=15 n=   32768 t=      1.88s
hashtbl: create    k=16 n=   65536 t=     14.98s
hashtbl: use known k=16 n=   65536 t=      5.05s
hashtbl: use fresh k=16 n=   65536 t=      1.93s
hashtbl: create    k=17 n=  131072 t=     19.19s
hashtbl: use known k=17 n=  131072 t=      5.85s
hashtbl: use fresh k=17 n=  131072 t=      1.96s
hashtbl: create    k=18 n=  262144 t=     20.03s
hashtbl: use known k=18 n=  262144 t=      6.35s
hashtbl: use fresh k=18 n=  262144 t=      1.98s
hashtbl: create    k=19 n=  524288 t=     21.53s
hashtbl: use known k=19 n=  524288 t=      6.78s
hashtbl: use fresh k=19 n=  524288 t=      2.21s
hashtbl: create    k=20 n= 1048576 t=     23.95s
hashtbl: use known k=20 n= 1048576 t=      7.58s
hashtbl: use fresh k=20 n= 1048576 t=      1.96s
hashtbl: create    k=21 n= 2097152 t=     23.31s
hashtbl: use known k=21 n= 2097152 t=      6.64s
hashtbl: use fresh k=21 n= 2097152 t=      1.95s
hashtbl: create    k=22 n= 4194304 t=     33.13s
hashtbl: use known k=22 n= 4194304 t=      7.54s
hashtbl: use fresh k=22 n= 4194304 t=      1.90s
