Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  7.94      0.05     0.05  9685966     0.00     0.00  caml_page_table_lookup
  7.94      0.10     0.05  1365849     0.00     0.00  camlHashtbl__find_1093
  6.35      0.14     0.04  2097543     0.00     0.00  compare_val
  6.35      0.18     0.04   273171     0.00     0.00  camlPrintf__scan_fmt_1144
  6.35      0.22     0.04      141     0.28     0.38  mark_slice
  4.76      0.25     0.03  1654378     0.00     0.00  hash_aux
  4.76      0.28     0.03   546340     0.00     0.00  camlScanf__scan_chars_in_char_set_1596
  4.76      0.31     0.03        1    30.00   324.21  camlOptim1__read_words_1030
  3.17      0.33     0.02  1748373     0.00     0.00  camlBuffer__add_char_1072
  3.17      0.35     0.02  1105093     0.00     0.00  camlString__sub_1046
  3.17      0.37     0.02   819516     0.00     0.00  caml_curry3
  3.17      0.39     0.02   546340     0.00     0.00  camlScanf__scan_limits_1707
  3.17      0.41     0.02   260756     0.00     0.00  camlHashtbl__replace_1112
  3.17      0.43     0.02      154     0.13     0.13  sweep_slice
  1.59      0.44     0.01  1750737     0.00     0.00  caml_apply2
  1.59      0.45     0.01  1723549     0.00     0.00  camlScanf__next_1158
  1.59      0.46     0.01  1404461     0.00     0.00  caml_oldify_one
  1.59      0.47     0.01  1401751     0.00     0.00  caml_fl_allocate
  1.59      0.48     0.01   571166     0.00     0.00  caml_curry2_1
  1.59      0.49     0.01   546340     0.00     0.00  camlScanf__find_in_set_1483
  1.59      0.50     0.01   546340     0.00     0.00  camlScanf__ignore_stoppers_1260
  1.59      0.51     0.01   546340     0.00     0.00  camlScanf__loop_1607
  1.59      0.52     0.01   546340     0.00     0.00  camlScanf__read_char_set_1479
  1.59      0.53     0.01   546340     0.00     0.00  camlScanf__scan_conversion_1708
  1.59      0.54     0.01   546340     0.00     0.00  camlScanf__scan_skip_1706
  1.59      0.55     0.01   273169     0.00     0.00  camlString__map_1090
  1.59      0.56     0.01    12414     0.00     0.00  camlList__rev_append_1051
  1.59      0.57     0.01     7676     0.00     0.00  camlHashtbl__insert_bucket_1068
  1.59      0.58     0.01      295     0.03     0.10  caml_oldify_mopup
  1.59      0.59     0.01        1    10.00    20.00  camlList__rmap_f_1070
  1.59      0.60     0.01                             camlBuffer__resize_1066
  1.59      0.61     0.01                             camlPrintf__valid_float_loop_1273
  1.59      0.62     0.01                             caml_c_call
  0.79      0.63     0.01  1117508     0.00     0.00  caml_apply3
  0.79      0.63     0.01                             caml_apply4
  0.00      0.63     0.00  4222839     0.00     0.00  caml_string_length
  0.00      0.63     0.00  2269885     0.00     0.00  camlScanf__fun_2530
  0.00      0.63     0.00  2097531     0.00     0.00  caml_compare
  0.00      0.63     0.00  1654378     0.00     0.00  caml_hash_univ_param
  0.00      0.63     0.00  1403097     0.00     0.00  caml_alloc_string
  0.00      0.63     0.00  1401724     0.00     0.00  allocate_block
  0.00      0.63     0.00  1401724     0.00     0.00  caml_alloc_shr
  0.00      0.63     0.00  1390681     0.00     0.00  caml_create_string
  0.00      0.63     0.00  1215523     0.00     0.00  camlChar__lowercase_1043
  0.00      0.63     0.00  1105093     0.00     0.00  caml_blit_string
  0.00      0.63     0.00   859701     0.00     0.00  caml_modify
  0.00      0.63     0.00   819510     0.00     0.00  camlScanf__scan_fmt_1705
  0.00      0.63     0.00   819510     0.00     0.00  caml_curry3_1
  0.00      0.63     0.00   819510     0.00     0.00  caml_curry3_2
  0.00      0.63     0.00   571167     0.00     0.00  camlPrintf__index_of_int_1037
  0.00      0.63     0.00   546342     0.00     0.00  camlPrintf__add_conv_1191
  0.00      0.63     0.00   546342     0.00     0.00  camlPrintf__incr_ac_1187
  0.00      0.63     0.00   546342     0.00     0.00  camlPrintf__scan_conv_1143
  0.00      0.63     0.00   546342     0.00     0.00  camlPrintf__scan_flags_1142
  0.00      0.63     0.00   546340     0.00     0.00  camlScanf__delay_1694
  0.00      0.63     0.00   546340     0.00     0.00  camlScanf__find_set_1484
  0.00      0.63     0.00   546340     0.00     0.00  camlScanf__scan_fmt_stoppers_1709
  0.00      0.63     0.00   546340     0.00     0.00  camlScanf__stack_1697
  0.00      0.63     0.00   473929     0.00     0.00  caml_fl_merge_block
  0.00      0.63     0.00   273173     0.00     0.00  caml_curry2
  0.00      0.63     0.00   273171     0.00     0.00  camlPrintf__ac_of_format_1184
  0.00      0.63     0.00   273171     0.00     0.00  camlPrintf__iter_on_format_args_1137
  0.00      0.63     0.00   273170     0.00     0.00  camlBuffer__reset_1064
  0.00      0.63     0.00   273170     0.00     0.00  camlList__assq_1174
  0.00      0.63     0.00   273170     0.00     0.00  camlOptim1__fun_1077
  0.00      0.63     0.00   273170     0.00     0.00  camlScanf__ascanf_1662
  0.00      0.63     0.00   273170     0.00     0.00  camlScanf__fun_1926
  0.00      0.63     0.00   273170     0.00     0.00  camlScanf__fun_2864
  0.00      0.63     0.00   273170     0.00     0.00  camlScanf__fun_3425
  0.00      0.63     0.00   273170     0.00     0.00  camlScanf__kscanf_1788
  0.00      0.63     0.00   273170     0.00     0.00  camlScanf__scan_1702
  0.00      0.63     0.00   273170     0.00     0.00  camlScanf__scan_format_1685
  0.00      0.63     0.00   273170     0.00     0.00  caml_curry5
  0.00      0.63     0.00   273170     0.00     0.00  caml_curry5_1
  0.00      0.63     0.00   273170     0.00     0.00  caml_curry5_2
  0.00      0.63     0.00   273170     0.00     0.00  caml_curry5_3
  0.00      0.63     0.00   273170     0.00     0.00  caml_curry5_4
  0.00      0.63     0.00   273170     0.00     0.00  caml_string_equal
  0.00      0.63     0.00   273170     0.00     0.00  caml_string_notequal
  0.00      0.63     0.00   273169     0.00     0.00  camlOptim1__increment_1055
  0.00      0.63     0.00   273169     0.00     0.00  camlString__lowercase_1098
  0.00      0.63     0.00   262134     0.00     0.00  caml_darken
  0.00      0.63     0.00   260756     0.00     0.00  camlHashtbl__replace_bucket_1116
  0.00      0.63     0.00    37239     0.00     0.00  camlPervasives__fun_1422
  0.00      0.63     0.00    37239     0.00     0.00  camlPrintf__doprn_1360
  0.00      0.63     0.00    37239     0.00     0.00  caml_ml_output_char
  0.00      0.63     0.00    24850     0.00     0.00  caml_putblock
  0.00      0.63     0.00    24826     0.00     0.00  camlPervasives__output_string_1191
  0.00      0.63     0.00    24826     0.00     0.00  camlPrintf__add_int_index_1040
  0.00      0.63     0.00    24826     0.00     0.00  camlPrintf__cont_s_1361
  0.00      0.63     0.00    24826     0.00     0.00  camlPrintf__get_arg_1288
  0.00      0.63     0.00    24826     0.00     0.00  camlPrintf__got_spec_1297
  0.00      0.63     0.00    24826     0.00     0.00  camlPrintf__scan_conv_1293
  0.00      0.63     0.00    24826     0.00     0.00  camlPrintf__scan_flags_1292
  0.00      0.63     0.00    24826     0.00     0.00  camlPrintf__scan_format_1278
  0.00      0.63     0.00    24826     0.00     0.00  camlPrintf__scan_positional_1291
  0.00      0.63     0.00    24826     0.00     0.00  camlPrintf__scan_positional_spec_1252
  0.00      0.63     0.00    24826     0.00     0.00  caml_ml_output
  0.00      0.63     0.00    21023     0.00     0.00  camlHashtbl__find_rec_1088
  0.00      0.63     0.00    15867     0.00     0.00  caml_initialize
  0.00      0.63     0.00    15356     0.00     0.00  camlHashtbl__hash_1031
  0.00      0.63     0.00    12421     0.00     0.00  caml_make_vect
  0.00      0.63     0.00    12420     0.00     0.00  caml_alloc_small
  0.00      0.63     0.00    12417     0.00     0.00  camlHashtbl__add_1074
  0.00      0.63     0.00    12416     0.00     0.00  caml_copy_string
  0.00      0.63     0.00    12415     0.00     0.00  camlBuffer__create_1039
  0.00      0.63     0.00    12413     0.00     0.00  camlPrintf__extract_format_1085
  0.00      0.63     0.00    12413     0.00     0.00  camlPrintf__extract_format_int_1103
  0.00      0.63     0.00    12413     0.00     0.00  camlPrintf__fill_format_1096
  0.00      0.63     0.00    12413     0.00     0.00  camlPrintf__fun_1575
  0.00      0.63     0.00    12413     0.00     0.00  camlPrintf__fun_1689
  0.00      0.63     0.00    12413     0.00     0.00  camlPrintf__pr_1354
  0.00      0.63     0.00    12413     0.00     0.00  camlPrintf__skip_positional_spec_1090
  0.00      0.63     0.00    12413     0.00     0.00  caml_curry4_2
  0.00      0.63     0.00    12413     0.00     0.00  caml_curry4_3
  0.00      0.63     0.00    12413     0.00     0.00  caml_format_int
  0.00      0.63     0.00    12413     0.00     0.00  parse_format
  0.00      0.63     0.00     8191     0.00     0.00  camlHashtbl__do_bucket_1132
  0.00      0.63     0.00     7473     0.00     0.00  caml_page_table_modify
  0.00      0.63     0.00     2864     0.00     0.00  caml_gc_message
  0.00      0.63     0.00     1685     0.00     0.00  camlPervasives__input_1224
  0.00      0.63     0.00     1685     0.00     0.00  caml_ml_input
  0.00      0.63     0.00     1215     0.00     0.00  caml_process_pending_signals
  0.00      0.63     0.00      629     0.00     0.00  caml_iterate_global_roots
  0.00      0.63     0.00      590     0.00     0.05  caml_empty_minor_heap
  0.00      0.63     0.00      590     0.00     0.00  caml_final_empty_young
  0.00      0.63     0.00      590     0.00     0.00  clear_table
  0.00      0.63     0.00      464     0.00     0.00  caml_enter_blocking_section
  0.00      0.63     0.00      464     0.00     0.00  caml_enter_blocking_section_default
  0.00      0.63     0.00      464     0.00     0.00  caml_leave_blocking_section
  0.00      0.63     0.00      464     0.00     0.00  caml_leave_blocking_section_default
  0.00      0.63     0.00      422     0.00     0.00  caml_do_read
  0.00      0.63     0.00      295     0.00     0.00  caml_final_do_calls
  0.00      0.63     0.00      295     0.00     0.00  caml_final_do_young_roots
  0.00      0.63     0.00      295     0.00     0.25  caml_major_collection_slice
